year_rank,song,artist,is_collaboration,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,source
2018_41,Shallow,Lady Gaga,1,Bradley Cooper,,,,,Pitchfork
2018_40,Powerglide,Rae Sremmurd,1,,Juicy J,,,,Pitchfork
2018_39,December 24,Earl Sweatshirt,0,,,,,,Pitchfork
2018_38,FUN!,Vince Staples,0,,,,,,Pitchfork
2018_37,Venice Bitch,Lana Del Rey,0,,,,,,Pitchfork
2018_36,Lifetime,Yves Tumor,0,,,,,,Pitchfork
2018_35,Rosebud,U.S. Girls,0,,,,,,Pitchfork
2018_34,Charcoal Baby,Blood Orange,0,,,,,,Pitchfork
2018_33,I Shall Love 2,Julia Holter,0,,,,,,Pitchfork
2018_32,Confirmation,Westerman,0,,,,,,Pitchfork
2018_31,The Story of Adidon,Pusha-T,0,,,,,,Pitchfork
2018_30,Make Me Feel,Janelle Monáe,0,,,,,,Pitchfork
2018_29,Falling Into Me,Let’s Eat Grandma,0,,,,,,Pitchfork
2018_28,It Makes You Forget (Itgehane),Peggy Gou,0,,,,,,Pitchfork
2018_27,In My Feelings,Drake,0,,,,,,Pitchfork
2018_26,Lemon Glow,Beach House,0,,,,,,Pitchfork
2018_25,The Opener,Camp Cope,0,,,,,,Pitchfork
2018_24,Middle America,Stephen Malkmus and the Jicks,0,,,,,,Pitchfork
2018_23,I Like It,Cardi B,1,,Bad Bunny,J Balvin,,,Pitchfork
2018_22,Is It Cold in the Water?,SOPHIE,0,,,,,,Pitchfork
2018_21,5 dollars,Christine and the Queens,0,,,,,,Pitchfork
2018_20,Rank & File,Moses Sumney,0,,,,,,Pitchfork
2018_19,Sicko Mode,Travis Scott,1,,Drake,,,,Pitchfork
2018_18,Boo’d Up,Ella Mai,0,,,,,,Pitchfork
2018_17,My My My!,Troye Sivan,0,,,,,,Pitchfork
2018_16,I Woke Up in a Fucked-Up America,Lonnie Holley,0,,,,,,Pitchfork
2018_15,Missing U,Robyn,0,,,,,,Pitchfork
2018_14,Womp Womp,Valee,1,,Jeremih,,,,Pitchfork
2018_13,Self,Noname,0,,,,,,Pitchfork
2018_12,Me & My Dog,boygenius,0,,,,,,Pitchfork
2018_11,Slow Burn,Kacey Musgraves,0,,,,,,Pitchfork
2018_10,Duck Duck Goose,CupcakKe,0,,,,,,Pitchfork
2018_9,Nobody,Mitski,0,,,,,,Pitchfork
2018_8,"thank u, next",Ariana Grande,0,,,,,,Pitchfork
