artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Lil Wayne,55Aa2cqylxrFIXC767Z865,A Milli,55iB592h8wGOplP3nMPsRR,Lollipop (Int'l ECD),2008-01-01,0,True,222.626,"{'danceability': 0.687, 'energy': 0.683, 'key': 6, 'loudness': -8.703, 'mode': 0, 'speechiness': 0.278, 'acousticness': 0.0362, 'instrumentalness': 0.00232, 'liveness': 0.197, 'valence': 0.756, 'tempo': 151.823, 'type': 'audio_features', 'id': '55iB592h8wGOplP3nMPsRR', 'uri': 'spotify:track:55iB592h8wGOplP3nMPsRR', 'track_href': 'https://api.spotify.com/v1/tracks/55iB592h8wGOplP3nMPsRR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55iB592h8wGOplP3nMPsRR', 'duration_ms': 222627, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,Sabali,3YrIjupEa0IWX0LZcqdEaU,Welcome to Mali,2008-11-14,0,False,196.813,"{'danceability': 0.604, 'energy': 0.652, 'key': 0, 'loudness': -6.571, 'mode': 1, 'speechiness': 0.0296, 'acousticness': 0.785, 'instrumentalness': 0.506, 'liveness': 0.242, 'valence': 0.163, 'tempo': 124.033, 'type': 'audio_features', 'id': '3YrIjupEa0IWX0LZcqdEaU', 'uri': 'spotify:track:3YrIjupEa0IWX0LZcqdEaU', 'track_href': 'https://api.spotify.com/v1/tracks/3YrIjupEa0IWX0LZcqdEaU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3YrIjupEa0IWX0LZcqdEaU', 'duration_ms': 196813, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
The Mae Shi,6M9pTtyPIMTUye6QV8AU4t,Run To Your Grave,5aXLyPt22JpBX8qfsItJgK,Run To Your Grave,2008-01-01,3,False,237.013,"{'danceability': 0.746, 'energy': 0.683, 'key': 0, 'loudness': -7.658, 'mode': 1, 'speechiness': 0.0693, 'acousticness': 0.0702, 'instrumentalness': 8.36e-06, 'liveness': 0.063, 'valence': 0.585, 'tempo': 113.291, 'type': 'audio_features', 'id': '5aXLyPt22JpBX8qfsItJgK', 'uri': 'spotify:track:5aXLyPt22JpBX8qfsItJgK', 'track_href': 'https://api.spotify.com/v1/tracks/5aXLyPt22JpBX8qfsItJgK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5aXLyPt22JpBX8qfsItJgK', 'duration_ms': 237013, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Wearing My Rolex - Radio Edit,5ci9QQ0tICXmx1hdiGJQuV,Wearing My Rolex (Radio Edit),2008-04-18,25,False,173.146,"{'danceability': 0.877, 'energy': 0.706, 'key': 1, 'loudness': -6.897, 'mode': 1, 'speechiness': 0.149, 'acousticness': 0.0687, 'instrumentalness': 0.00103, 'liveness': 0.0701, 'valence': 0.752, 'tempo': 132.008, 'type': 'audio_features', 'id': '5ci9QQ0tICXmx1hdiGJQuV', 'uri': 'spotify:track:5ci9QQ0tICXmx1hdiGJQuV', 'track_href': 'https://api.spotify.com/v1/tracks/5ci9QQ0tICXmx1hdiGJQuV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ci9QQ0tICXmx1hdiGJQuV', 'duration_ms': 173147, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Vivian Girls,0WkO9Px6qQCM7so8lYvaCv,Where Do You Run To,2aaIcSJvmz3kQbNyAHxqQb,Vivian Girls,2008-09-30,0,False,195.573,"{'danceability': 0.429, 'energy': 0.573, 'key': 11, 'loudness': -11.934, 'mode': 0, 'speechiness': 0.0301, 'acousticness': 0.000485, 'instrumentalness': 0.0142, 'liveness': 0.126, 'valence': 0.604, 'tempo': 140.983, 'type': 'audio_features', 'id': '2aaIcSJvmz3kQbNyAHxqQb', 'uri': 'spotify:track:2aaIcSJvmz3kQbNyAHxqQb', 'track_href': 'https://api.spotify.com/v1/tracks/2aaIcSJvmz3kQbNyAHxqQb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2aaIcSJvmz3kQbNyAHxqQb', 'duration_ms': 195573, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Hercules & Love Affair,1WHoAjAWGx5qLsgzpaOk7W,Hercules Theme,5Y6j5OOV7RxICBWhPvc5Ju,Hercules & Love Affair,2008-03-10,33,False,268.835,"{'danceability': 0.735, 'energy': 0.644, 'key': 7, 'loudness': -6.182, 'mode': 0, 'speechiness': 0.0291, 'acousticness': 0.0215, 'instrumentalness': 0.781, 'liveness': 0.329, 'valence': 0.862, 'tempo': 105.988, 'type': 'audio_features', 'id': '5Y6j5OOV7RxICBWhPvc5Ju', 'uri': 'spotify:track:5Y6j5OOV7RxICBWhPvc5Ju', 'track_href': 'https://api.spotify.com/v1/tracks/5Y6j5OOV7RxICBWhPvc5Ju', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Y6j5OOV7RxICBWhPvc5Ju', 'duration_ms': 268836, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Beyoncé,6vWDO969PvNqNYHIOW5v0m,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,I AM...SASHA FIERCE,2008-11-17,69,False,193.213,"{'danceability': 0.426, 'energy': 0.584, 'key': 1, 'loudness': -5.293, 'mode': 1, 'speechiness': 0.296, 'acousticness': 0.0383, 'instrumentalness': 0, 'liveness': 0.188, 'valence': 0.272, 'tempo': 193.437, 'type': 'audio_features', 'id': '5R9a4t5t5O0IsznsrKPVro', 'uri': 'spotify:track:5R9a4t5t5O0IsznsrKPVro', 'track_href': 'https://api.spotify.com/v1/tracks/5R9a4t5t5O0IsznsrKPVro', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5R9a4t5t5O0IsznsrKPVro', 'duration_ms': 193213, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
The Hold Steady,3qkZBMz5JgmRN9u5wwhRC6,Constructive Summer,2OmtWfa6oD8w3ja05P7ADH,Stay Positive,2008-06-15,0,False,175.733,"{'danceability': 0.245, 'energy': 0.945, 'key': 4, 'loudness': -3.093, 'mode': 1, 'speechiness': 0.0877, 'acousticness': 0.244, 'instrumentalness': 0.0304, 'liveness': 0.387, 'valence': 0.338, 'tempo': 169.59, 'type': 'audio_features', 'id': '2OmtWfa6oD8w3ja05P7ADH', 'uri': 'spotify:track:2OmtWfa6oD8w3ja05P7ADH', 'track_href': 'https://api.spotify.com/v1/tracks/2OmtWfa6oD8w3ja05P7ADH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2OmtWfa6oD8w3ja05P7ADH', 'duration_ms': 175733, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
T.I.,4OBJLual30L7gRl5UkeRcT,No Matter What,1E7Mvxud57gmqe70xOvR3i,No Matter What,2008-05-06,0,True,281.673,"{'danceability': 0.376, 'energy': 0.809, 'key': 11, 'loudness': -5.21, 'mode': 1, 'speechiness': 0.301, 'acousticness': 0.00624, 'instrumentalness': 0, 'liveness': 0.0606, 'valence': 0.274, 'tempo': 145.445, 'type': 'audio_features', 'id': '1E7Mvxud57gmqe70xOvR3i', 'uri': 'spotify:track:1E7Mvxud57gmqe70xOvR3i', 'track_href': 'https://api.spotify.com/v1/tracks/1E7Mvxud57gmqe70xOvR3i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1E7Mvxud57gmqe70xOvR3i', 'duration_ms': 281674, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,M79,6moSOpDt0m7rqdbjfT1mbu,Vampire Weekend,2008-01-27,0,False,255.76,"{'danceability': 0.774, 'energy': 0.602, 'key': 7, 'loudness': -6.931, 'mode': 1, 'speechiness': 0.0397, 'acousticness': 0.14, 'instrumentalness': 0.00422, 'liveness': 0.29, 'valence': 0.948, 'tempo': 113.014, 'type': 'audio_features', 'id': '6moSOpDt0m7rqdbjfT1mbu', 'uri': 'spotify:track:6moSOpDt0m7rqdbjfT1mbu', 'track_href': 'https://api.spotify.com/v1/tracks/6moSOpDt0m7rqdbjfT1mbu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6moSOpDt0m7rqdbjfT1mbu', 'duration_ms': 255760, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
